Date,AAPL,AMZN,GOOGL,MSFT,TSLA,BRK_B,META,NVDA,UNH,SP_500,CPI,Total_nonfarm,Total_private,Average_weekly_earnings,FEDFUNDS,GDP
2015-02,0.06209386281588461,0.09797297297297292,0.07543352601156068,0.12729124236252545,0.014414626433188922,0.018204300336607856,0.03435897435897445,0.10880110880110883,0.04741299944761546,0.04532646643722,1.95449451571832,265.0,252.0,858.08,0.11,113.05610342898736
2015-03,-0.07591207795150694,-0.03007692307692305,-0.0003762429454447872,-0.032881662149954825,-0.06461832918880914,-0.01659695047901773,0.027516113039167064,-0.02802083333333335,0.0617913333919311,-0.012710338816038773,2.43333592636743,84.0,90.0,858.02,0.11,103.92798005114676
2015-04,0.19421284943599806,0.011182488698548628,0.0011112305982723004,0.028955725761255293,0.1904588435901411,-0.027305159165751852,-0.034861278648974675,0.14433072553852752,-0.06018211920529798,0.010302056092704013,2.96265053867684,251.0,241.0,859.4,0.12,102.11565116528264
2015-05,-0.026078028747433327,0.029254901960784233,-0.009596104268118041,0.0049019607843137905,0.08945720182560407,0.021794329242488385,-0.0007499062617173137,0.0002809580670085096,0.057517836695146665,0.0071906227440251685,2.5012910991095,273.0,256.0,861.47,0.12,106.3884471269498
2015-06,-0.057347670250896036,-0.04313038177246054,-0.014660159074475777,-0.08581752484191506,0.054980189203564254,-0.05073514185131493,0.08317698561600989,0.01631439739718659,0.019656838247542892,-0.028043156375845164,2.97239956431092,228.0,226.0,861.12,0.13,117.36823671265498
2015-07,0.05770521136211135,-0.023652146213267493,0.21943165348841473,-0.006916996047430946,0.010575926314060164,0.042102966841186674,0.09642032332563522,0.24157070474435738,-0.015928769808854784,0.02445674586040096,1.9220253006031696,277.0,245.0,866.04,0.13,128.58899377805108
2015-08,-0.07887502643264954,-0.08621533442088086,-0.015585978636979109,0.12537313432835834,-0.0821356502242152,-0.0573581745865606,-0.04581358609794638,-0.04201524791778739,-0.02706067900722176,-0.05913525288880465,1.63579063211565,150.0,123.0,869.15,0.14,130.8304081521185
2015-09,0.0073461891643709885,-0.01660269570650718,-0.034401075893266464,0.058001768346596025,0.025972994925097866,-0.03871493078688274,-0.02384105960264897,-0.021299666950662256,-0.015527685351079202,-0.05012759660346394,2.99841569275872,149.0,162.0,867.33,0.14,174.3827780193966
2015-10,0.21513217866909748,0.09821185440682575,0.180000949622525,0.16914591342136043,-0.165077380952381,0.0592946249807484,0.1817051108095885,0.23854463437796777,0.03934483057457324,0.1074959992369405,2.28316449144805,295.0,304.0,869.75,0.12,125.16984148381567
2015-11,0.02288072018004499,-0.024795437639474338,0.03528891034926767,0.12294496068620438,0.10166325650366802,-0.019918580982843916,0.012726054922973861,0.07969521253654102,-0.04477611940298511,0.00045454545454536754,2.2654806001265,280.0,279.0,871.82,0.12,101.82855441190478
